epoch,epoch_time_seconds,eval_accuracy,eval_loss,train_accuracy,train_loss
1,156.00474866100012,0.5538,1.6114384801864623,0.46808,1.9629454697418214
2,151.2912401250005,0.6306,1.3012048526763915,0.6379,1.2443299562835692
3,150.86725532299988,0.6584,1.2458586421966553,0.71296,0.9649941238021851
4,150.79793741100002,0.6628,1.2130028015136718,0.76342,0.7749681049346924
5,151.4319642089995,0.6852,1.1799859825134278,0.8082,0.6176273022460937
6,150.18900744599978,0.6925,1.169239227104187,0.83838,0.5087129436302185
7,152.11795036700005,0.6934,1.2550953553199768,0.87012,0.4079035063171387
8,151.50951902199995,0.6996,1.2505468684196472,0.89476,0.33013935499668123
9,150.96792862000075,0.6997,1.2834583728790283,0.90856,0.28467203178405764
10,151.70870560799995,0.7048,1.3052794177055358,0.91992,0.24308748105049133
