epoch,epoch_time_seconds,eval_accuracy,eval_loss,train_accuracy,train_loss
1,56.711246981999466,0.0608,4.196017781829834,0.04366,4.31516352432251
2,55.48807203599972,0.0655,4.161795028686523,0.0542,4.219716250762939
3,55.57427273999929,0.0656,4.158344230651855,0.06066,4.164862476806641
4,55.64423907299988,0.0613,4.174780415344238,0.05948,4.1850870974731444
5,54.936881575999905,0.0648,4.155428866577148,0.05614,4.2021162492370605
6,54.92488084100023,0.0616,4.185262580871582,0.05676,4.215998347473144
7,54.93987813700005,0.0669,4.15104312210083,0.0601,4.186686334991455
8,56.04010034000021,0.0572,4.187515025329589,0.05822,4.196901245040894
9,54.673850515000595,0.0557,4.196036177062989,0.05686,4.214241741027832
10,54.411925063000126,0.0603,4.194759814453125,0.05742,4.206754125366211
